Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	2245.40940709	348.851388171	1644.16439323	2762.00349757	-335.644565706	55.0276561129	-454.251057879	-240.860477452
1	2288.84167156	288.114805223	1927.80331095	2995.11451478	-341.558351996	40.4303631898	-398.114548432	-293.186901091
2	2072.8434469	400.269405438	1615.12270273	3106.12903758	-338.941514624	59.0559076223	-435.803244064	-235.521786573
3	2059.90073803	354.610367691	1438.93741952	2728.02237672	-309.842407494	52.973089146	-409.737464893	-208.125576098
4	2055.01521434	193.986879889	1705.85508844	2362.70832846	-324.586657139	45.5536297572	-448.635432674	-282.236575856
5	2311.50962742	163.93127877	2077.49393228	2573.92522677	-351.987278405	44.0580083354	-406.693633393	-264.639583532
6	2225.09481957	266.873001771	1822.87750786	2757.9774615	-332.795819761	59.0359105991	-434.243958511	-268.250957899
7	2175.69766109	226.063832818	1757.79461764	2515.95022229	-339.392284594	37.5968264955	-407.348703493	-276.695024331
8	2321.47164816	294.524287841	1519.84737417	2631.57873524	-318.337008188	37.6041483564	-372.82925008	-246.335817039
9	2009.76149763	168.27523682	1731.16292833	2260.89919886	-327.780038397	45.0881918449	-417.849876472	-276.846941083
10	2207.13113233	237.837608027	1797.521798	2534.99318534	-318.69614471	42.9936099003	-402.27006549	-234.958889345
11	2151.26754977	266.61417827	1763.16837753	2561.72831578	-322.686840831	62.698127749	-469.864400085	-238.962735947
12	2309.94015889	367.266400235	1807.07895848	2867.00515141	-337.544083644	57.2972605477	-407.767045744	-243.975354333
13	2131.41867994	276.608657585	1673.75177202	2563.55746762	-305.039563003	61.1595522213	-428.728445732	-220.815251935
